代码,名称,波段收益(%),死拿收益(%),相对超额(%)
000963,华东医药,-9.89,20.49,-30.38
002920,德赛西威,-13.75,16.89,-30.65
000630,铜陵有色,58.09,91.09,-33.0
600515,海南机场,7.71,42.7,-34.99
600760,中航沈飞,-17.59,17.97,-35.56
000708,中信特钢,16.97,53.08,-36.11
600426,华鲁恒升,16.59,52.99,-36.4
603501,豪威集团,-10.98,26.93,-37.92
002460,赣锋锂业,52.45,90.54,-38.09
002648,卫星化学,-41.2,-2.43,-38.78
300014,亿纬锂能,14.13,53.24,-39.11
002493,荣盛石化,-1.85,37.72,-39.56
000792,盐湖股份,30.46,70.95,-40.49
300124,汇川技术,-4.33,36.5,-40.83
300418,昆仑万维,-33.15,8.42,-41.57
000977,浪潮信息,-3.03,39.32,-42.34
601899,紫金矿业,82.08,126.84,-44.75
002466,天齐锂业,28.59,74.44,-45.85
002028,思源电气,68.31,114.87,-46.56
603296,华勤技术,-15.04,33.37,-48.41
601698,中国卫通,13.69,63.13,-49.44
600346,恒力石化,5.62,56.0,-50.38
600160,巨化股份,10.8,61.83,-51.03
688012,中微公司,-0.19,51.01,-51.2
688041,海光信息,9.85,62.21,-52.36
002371,北方华创,8.07,65.28,-57.21
600176,中国巨石,-2.37,57.16,-59.53
600415,小商品城,-38.75,22.27,-61.02
000807,云铝股份,73.7,137.19,-63.49
688981,中芯国际,-24.17,39.62,-63.78
300433,蓝思科技,-19.35,44.44,-63.79
002475,立讯精密,-20.41,49.24,-69.65
600111,北方稀土,54.84,124.93,-70.09
002241,歌尔股份,-54.79,17.4,-72.18
603259,药明康德,-3.58,79.02,-82.6
002709,天赐材料,56.8,140.0,-83.2
002074,国轩高科,11.48,95.42,-83.94
002938,鹏鼎控股,-38.27,48.32,-86.59
688506,百利天恒,-23.81,67.03,-90.84
600362,江西铜业,67.73,162.61,-94.88
000408,藏格矿业,123.63,219.56,-95.93
002463,沪电股份,-5.06,96.2,-101.26
601689,拓普集团,-37.21,64.6,-101.8
601100,恒立液压,19.36,123.31,-103.95
603799,华友钴业,36.46,143.3,-106.84
603993,洛阳钼业,100.32,207.42,-107.11
688008,澜起科技,-27.73,83.93,-111.66
002600,领益智造,-10.15,104.11,-114.27
300274,阳光电源,42.03,156.72,-114.69
688082,盛美上海,-34.0,82.15,-116.14
688256,寒武纪,3.39,120.29,-116.89
603986,兆易创新,-8.47,115.29,-123.76
002916,深南电路,9.08,152.79,-143.7
600183,生益科技,60.75,216.47,-155.72
601138,工业富联,62.48,220.28,-157.8
002050,三花智控,-30.77,132.4,-163.17
300394,天孚通信,58.21,236.6,-178.39
300308,中际旭创,94.39,419.14,-324.75
300502,新易盛,98.86,453.18,-354.32
